company,title,product,story,quote,reasons
Lumina Networks,"SDN startup Lumina Networks closes shop, citing Covid-19 impact",Lumina Networks,"Lumina Networks, a provider of open source software for telecom networks, announced it was going out of business in late August 2020. Although backed by AT&T Ventures and Verizon Ventures, the company was unable to find a sustainable revenue model, citing the pandemic as a contributing factor, according to its statement:","“Essentially, revenue continued to flow to proprietary vendors. The switch to open source did not take place at a pace anywhere close to the speed that would enable us to operate and grow our business, despite commitments from many to the contrary. We have also found that Covid-19 has actually redirected funds away from automation projects and into building-out raw infrastructure, further delaying adoption.”
“Selling Lumina to a proprietary vendor who is naturally antithetical to our mission proved an impossible task and for this reason we must now close our business,” it concluded.","['Failure reasons summarized:', '', 'Unsustainable revenue model', 'Slow adoption of open source', 'Covid-19 redirected funds', 'Unable to sell to proprietary vendor']"
Atrium,"$75M legal startup Atrium shuts down, lays off 100",Atrium,"Legal tech and law firm startup Atrium shut down in March 2020, following an unsuccessful pivot to a pure software offering in January. The firm had received just over $75M in funding from investors including Andreessen Horowitz, General Catalyst, and New Enterprise Associates, and it was once valued at over $250M. CEO Justin Kan noted in his interview with TechCrunch,","“If you look at our original business model with the verticalized law firm, a lot of these companies that have this kind of full stack model are not going to survive,” Kan explained. “A lot of these companies, Atrium included, did not figure out how to make a dent in operational efficiency.”","['Failure reasons:', '', 'Unsuccessful pivot to software.', 'Inability to make operational efficiency.', 'Lack of success with full stack model.']"
ScaleFactor,ScaleFactor Raised $100 Million In A Year Then Blamed Covid-19 For Its Demise. Employees Say It Had Much Bigger Problems.,ScaleFactor,"Finance and accounting platform ScaleFactor raised $100M from investors before shutting down in June 2020. In an interview with Forbes, CEO Kurt Rathmann blamed pandemic-related financial woes for the demise of the company, which promised to automate customers’ bookkeeping needs. However, some former clients — and employees — protested this characterization, stating that the AI tech powering the platform was often unpredictable, creating errors that even outsourced accountants the company had hired couldn’t keep up with fixing. According to a Forbes investigation published in July 2020,","ScaleFactor used aggressive sales tactics and prioritized chasing capital instead of building software that ultimately fell far short of what it promised, according to interviews with 15 former employees and executives. When customers fled, executives tried to obscure the real damage.","['Failure reasons summarized:', '', 'Pandemic-related financial woes', 'Unpredictable AI technology', 'Errors in bookkeeping automation', 'Aggressive sales tactics', 'Failure to deliver promised software']"
Starsky Robotics,The End of Starsky Robotics,Starsky Robotics,"Starsky Robotics, an autonomous trucking tech startup, folded in March 2020. In a blog post, CEO Stefan Seltz-Axmacher outlined the reasons the company had failed, stating:","Timing, more than anything else, is what I think is to blame for our unfortunate fate. Our approach, I still believe, was the right one but the space was too overwhelmed with the unmet promise of AI to focus on a practical solution. As those breakthroughs failed to appear, the downpour of investor interest became a drizzle.","['Failure reasons:', '', 'Timing', 'Overwhelmed by AI promise', 'Lack of breakthroughs', 'Decreased investor interest']"
Essential Products,"Essential, Andy Rubin’s phone company, is shutting down",Essential Products,"Consumer hardware startup Essential closed down in February 2020, following the flop of its Essential Phone launched in 2017 and other unfinished projects. Founded by Andy Rubin, the creator of Android, the startup drew significant interest, raising over $330M. However, after a 2018 New York Times report revealed that Rubin had allegedly left Google due to sexual misconduct allegations, attention to the startup cooled. According to The Verge,","Essential was in the process of developing another phone called “Project Gem” with an unusual design. Rubin first teased the project in October 2019, but the company now says it has “no clear path to deliver it to customers.”
“Given this, we have made the difficult decision to cease operations and shutdown Essential,” the company writes in a blog post.","['Failure reasons:', '', 'Flop of Essential Phone', 'Unfinished projects', 'Sexual misconduct allegations against Rubin', 'Lack of attention and interest', 'Inability to deliver Project Gem']"
Jumpshot,"Avast Antivirus Is Shutting Down Its Data Collection Arm, Effective Immediately",Jumpshot,"Avast Antivirus’ CEO Ondrej Vlcek and board of directors promptly shut down subsidiary Jumpshot after an investigation by Motherboard and PCMag revealed that Avast, the antivirus security platform, was collecting and selling private user web browsing data through Jumpshot. According to The Verge,","Vlcek, who became CEO of Avast seven months ago, said he has spent the first few months of his job “re-evaluating every portion of our business,” and that the Jumpshot revelations had eroded trust in the company.","['Failure reasons:', '', 'Data privacy breach', 'Selling user browsing data', 'Eroded trust in company']"
Sorabel,Indonesian fashion e-commerce startup Sorabel to shutter operations,Sorabel,"Fashion e-commerce startup Sorabel was unable to weather the storm created by the Covid-19 crisis, announcing plans to wind down operations in July 2020 as consumers avoided non-essential spending. Sorabel had received over $28M in disclosed funding, and was reportedly poised to close new financing when the pandemic hit and investors withdrew. Deal Street Asia reported,","In a letter to Sorabel employees, the company said it had done its best to save the business but was left with no choice but to close down. “Due to this liquidation process, we have to terminate employment contracts with no exception, effective July 30. I am certain that no one would ever expect this to happen.”","['Failure reasons:', '', 'Covid-19 impact on spending.', 'Withdrawal of investor funding.', 'Inability to save the business.', 'Forced to close down.', 'Unexpected termination of employment.']"
Hollar,Online dollar store Hollar to wind down,Hollar,"Launched in 2015, Hollar — backed by investors like Kleiner Perkins Caufield & Byers and Lightspeed Venture Partners — received over $45M in funding to bring the dollar store online. However, Axios reported in February 2020 that the startup would wind down operations amid financial troubles:","Hollar’s thesis was that dollar store denizens would buy multiple products at a time, thus alleviating pressure on shipping costs. But a source close to the situation says the unit economics never panned out.
The company is said to have started looking for a buyer late last year, and is in final negotiations with retailer Five Below, which would bring on more employees and at least some of the other assets.","['Failure reasons:', '', 'Financial troubles', 'Unsuccessful unit economics', 'Inability to alleviate shipping costs', 'Need for a buyer', 'Potential asset acquisition']"
The Outline,"The Outline, an attempt to build a bolder kind of news site, appears to have met its end",The Outline,"Bustle Digital Group shut down digital media company The Outline in April 2020, just one year after acquiring it. Founded in 2016 by journalist Joshua Topolsky, the company raised over $10M in funding to develop a news site that featured immersive design, bold colors, and full-page ads. Amid low site traction and added pressure from the Covid-19 crisis, Bustle Digital laid off The Outline’s staff as part of broader company layoffs. According to Neiman Lab,","In a statement, Bustle Digital cited the “unprecedented impact of COVID-19,” noting that most remaining employees “will be taking temporary tiered salary reductions.”
As for The Outline’s future, the statement said: “We are halting operations of The Outline going forward. We will continue to host the publication and the archives, and Josh Topolsky will be exploring alternative paths forward for the publication’s future.”","['Failure reasons:', '', 'Low site traction', 'Covid-19 crisis impact', 'Company layoffs', 'Financial difficulties', 'Uncertain future for publication']"
 ,,,,,
